County,FIPS,Year,Measure Type,Variable,Value
Connecticut,9,2006-2010,Number,Median Home Value,296500
Connecticut,9,2006-2010,Number,Margins of Error,1092
Connecticut,9,2006-2010,Ratio to State Median,Median Home Value,1
Connecticut,9,2006-2010,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2007-2011,Number,Median Home Value,293100
Connecticut,9,2007-2011,Number,Margins of Error,897
Connecticut,9,2007-2011,Ratio to State Median,Median Home Value,1
Connecticut,9,2007-2011,Ratio to State Median,Margins of Error,0
Connecticut,9,2008-2012,Number,Median Home Value,285900
Connecticut,9,2008-2012,Number,Margins of Error,975
Connecticut,9,2008-2012,Ratio to State Median,Median Home Value,1
Connecticut,9,2008-2012,Ratio to State Median,Margins of Error,0
Connecticut,9,2009-2013,Number,Median Home Value,278900
Connecticut,9,2009-2013,Number,Margins of Error,868
Connecticut,9,2009-2013,Ratio to State Median,Median Home Value,1
Connecticut,9,2009-2013,Ratio to State Median,Margins of Error,0
Connecticut,9,2010-2014,Number,Median Home Value,274500
Connecticut,9,2010-2014,Number,Margins of Error,980
Connecticut,9,2010-2014,Ratio to State Median,Median Home Value,1
Connecticut,9,2010-2014,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2011-2015,Number,Median Home Value,270500
Connecticut,9,2011-2015,Number,Margins of Error,1061
Connecticut,9,2011-2015,Ratio to State Median,Median Home Value,1
Connecticut,9,2011-2015,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2012-2016,Number,Median Home Value,269300
Connecticut,9,2012-2016,Number,Margins of Error,1149
Connecticut,9,2012-2016,Ratio to State Median,Median Home Value,1
Connecticut,9,2012-2016,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2013-2017,Number,Median Home Value,270100
Connecticut,9,2013-2017,Number,Margins of Error,1083
Connecticut,9,2013-2017,Ratio to State Median,Median Home Value,1
Connecticut,9,2013-2017,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2014-2018,Number,Median Home Value,272700
Connecticut,9,2014-2018,Number,Margins of Error,985
Connecticut,9,2014-2018,Ratio to State Median,Median Home Value,1
Connecticut,9,2014-2018,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2015-2019,Number,Median Home Value,275400
Connecticut,9,2015-2019,Number,Margins of Error,972
Connecticut,9,2015-2019,Ratio to State Median,Median Home Value,1
Connecticut,9,2015-2019,Ratio to State Median,Margins of Error,0
Fairfield County,9001,2006-2010,Number,Median Home Value,477700
Fairfield County,9001,2006-2010,Number,Margins of Error,4192
Fairfield County,9001,2006-2010,Ratio to State Median,Median Home Value,1.61
Fairfield County,9001,2006-2010,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2007-2011,Number,Median Home Value,466700
Fairfield County,9001,2007-2011,Number,Margins of Error,3589
Fairfield County,9001,2007-2011,Ratio to State Median,Median Home Value,1.59
Fairfield County,9001,2007-2011,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2008-2012,Number,Median Home Value,447500
Fairfield County,9001,2008-2012,Number,Margins of Error,4096
Fairfield County,9001,2008-2012,Ratio to State Median,Median Home Value,1.57
Fairfield County,9001,2008-2012,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2009-2013,Number,Median Home Value,432100
Fairfield County,9001,2009-2013,Number,Margins of Error,3744
Fairfield County,9001,2009-2013,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2009-2013,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2010-2014,Number,Median Home Value,422400
Fairfield County,9001,2010-2014,Number,Margins of Error,3717
Fairfield County,9001,2010-2014,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2010-2014,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2011-2015,Number,Median Home Value,416000
Fairfield County,9001,2011-2015,Number,Margins of Error,3816
Fairfield County,9001,2011-2015,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2011-2015,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2012-2016,Number,Median Home Value,413400
Fairfield County,9001,2012-2016,Number,Margins of Error,4573
Fairfield County,9001,2012-2016,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2012-2016,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2013-2017,Number,Median Home Value,417800
Fairfield County,9001,2013-2017,Number,Margins of Error,4822
Fairfield County,9001,2013-2017,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2013-2017,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2014-2018,Number,Median Home Value,422300
Fairfield County,9001,2014-2018,Number,Margins of Error,4188
Fairfield County,9001,2014-2018,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2014-2018,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2015-2019,Number,Median Home Value,428500
Fairfield County,9001,2015-2019,Number,Margins of Error,3954
Fairfield County,9001,2015-2019,Ratio to State Median,Median Home Value,1.56
Fairfield County,9001,2015-2019,Ratio to State Median,Margins of Error,0.02
Hartford County,9003,2006-2010,Number,Median Home Value,247400
Hartford County,9003,2006-2010,Number,Margins of Error,1442
Hartford County,9003,2006-2010,Ratio to State Median,Median Home Value,0.83
Hartford County,9003,2006-2010,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2007-2011,Number,Median Home Value,248000
Hartford County,9003,2007-2011,Number,Margins of Error,1260
Hartford County,9003,2007-2011,Ratio to State Median,Median Home Value,0.85
Hartford County,9003,2007-2011,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2008-2012,Number,Median Home Value,246400
Hartford County,9003,2008-2012,Number,Margins of Error,1440
Hartford County,9003,2008-2012,Ratio to State Median,Median Home Value,0.86
Hartford County,9003,2008-2012,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2009-2013,Number,Median Home Value,241500
Hartford County,9003,2009-2013,Number,Margins of Error,1485
Hartford County,9003,2009-2013,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2009-2013,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2010-2014,Number,Median Home Value,238600
Hartford County,9003,2010-2014,Number,Margins of Error,1425
Hartford County,9003,2010-2014,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2010-2014,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2011-2015,Number,Median Home Value,236400
Hartford County,9003,2011-2015,Number,Margins of Error,1511
Hartford County,9003,2011-2015,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2011-2015,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2012-2016,Number,Median Home Value,234900
Hartford County,9003,2012-2016,Number,Margins of Error,1503
Hartford County,9003,2012-2016,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2012-2016,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2013-2017,Number,Median Home Value,235300
Hartford County,9003,2013-2017,Number,Margins of Error,1700
Hartford County,9003,2013-2017,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2013-2017,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2014-2018,Number,Median Home Value,237700
Hartford County,9003,2014-2018,Number,Margins of Error,1291
Hartford County,9003,2014-2018,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2014-2018,Ratio to State Median,Margins of Error,0.01
Hartford County,9003,2015-2019,Number,Median Home Value,240600
Hartford County,9003,2015-2019,Number,Margins of Error,1505
Hartford County,9003,2015-2019,Ratio to State Median,Median Home Value,0.87
Hartford County,9003,2015-2019,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2006-2010,Number,Median Home Value,285800
Litchfield County,9005,2006-2010,Number,Margins of Error,4131
Litchfield County,9005,2006-2010,Ratio to State Median,Median Home Value,0.96
Litchfield County,9005,2006-2010,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2007-2011,Number,Median Home Value,279600
Litchfield County,9005,2007-2011,Number,Margins of Error,3498
Litchfield County,9005,2007-2011,Ratio to State Median,Median Home Value,0.95
Litchfield County,9005,2007-2011,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2008-2012,Number,Median Home Value,272000
Litchfield County,9005,2008-2012,Number,Margins of Error,3411
Litchfield County,9005,2008-2012,Ratio to State Median,Median Home Value,0.95
Litchfield County,9005,2008-2012,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2009-2013,Number,Median Home Value,263600
Litchfield County,9005,2009-2013,Number,Margins of Error,3557
Litchfield County,9005,2009-2013,Ratio to State Median,Median Home Value,0.95
Litchfield County,9005,2009-2013,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2010-2014,Number,Median Home Value,259800
Litchfield County,9005,2010-2014,Number,Margins of Error,3361
Litchfield County,9005,2010-2014,Ratio to State Median,Median Home Value,0.95
Litchfield County,9005,2010-2014,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2011-2015,Number,Median Home Value,254600
Litchfield County,9005,2011-2015,Number,Margins of Error,3562
Litchfield County,9005,2011-2015,Ratio to State Median,Median Home Value,0.94
Litchfield County,9005,2011-2015,Ratio to State Median,Margins of Error,0.01
Litchfield County,9005,2012-2016,Number,Median Home Value,249500
Litchfield County,9005,2012-2016,Number,Margins of Error,4061
Litchfield County,9005,2012-2016,Ratio to State Median,Median Home Value,0.93
Litchfield County,9005,2012-2016,Ratio to State Median,Margins of Error,0.02
Litchfield County,9005,2013-2017,Number,Median Home Value,250100
Litchfield County,9005,2013-2017,Number,Margins of Error,4037
Litchfield County,9005,2013-2017,Ratio to State Median,Median Home Value,0.93
Litchfield County,9005,2013-2017,Ratio to State Median,Margins of Error,0.02
Litchfield County,9005,2014-2018,Number,Median Home Value,251500
Litchfield County,9005,2014-2018,Number,Margins of Error,4087
Litchfield County,9005,2014-2018,Ratio to State Median,Median Home Value,0.92
Litchfield County,9005,2014-2018,Ratio to State Median,Margins of Error,0.02
Litchfield County,9005,2015-2019,Number,Median Home Value,251000
Litchfield County,9005,2015-2019,Number,Margins of Error,3599
Litchfield County,9005,2015-2019,Ratio to State Median,Median Home Value,0.91
Litchfield County,9005,2015-2019,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2006-2010,Number,Median Home Value,307400
Middlesex County,9007,2006-2010,Number,Margins of Error,4434
Middlesex County,9007,2006-2010,Ratio to State Median,Median Home Value,1.04
Middlesex County,9007,2006-2010,Ratio to State Median,Margins of Error,0.02
Middlesex County,9007,2007-2011,Number,Median Home Value,306900
Middlesex County,9007,2007-2011,Number,Margins of Error,5043
Middlesex County,9007,2007-2011,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2007-2011,Ratio to State Median,Margins of Error,0.02
Middlesex County,9007,2008-2012,Number,Median Home Value,299600
Middlesex County,9007,2008-2012,Number,Margins of Error,4399
Middlesex County,9007,2008-2012,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2008-2012,Ratio to State Median,Margins of Error,0.02
Middlesex County,9007,2009-2013,Number,Median Home Value,292000
Middlesex County,9007,2009-2013,Number,Margins of Error,4030
Middlesex County,9007,2009-2013,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2009-2013,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2010-2014,Number,Median Home Value,288300
Middlesex County,9007,2010-2014,Number,Margins of Error,3287
Middlesex County,9007,2010-2014,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2010-2014,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2011-2015,Number,Median Home Value,285100
Middlesex County,9007,2011-2015,Number,Margins of Error,3297
Middlesex County,9007,2011-2015,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2011-2015,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2012-2016,Number,Median Home Value,283800
Middlesex County,9007,2012-2016,Number,Margins of Error,3086
Middlesex County,9007,2012-2016,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2012-2016,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2013-2017,Number,Median Home Value,283700
Middlesex County,9007,2013-2017,Number,Margins of Error,3516
Middlesex County,9007,2013-2017,Ratio to State Median,Median Home Value,1.05
Middlesex County,9007,2013-2017,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2014-2018,Number,Median Home Value,284900
Middlesex County,9007,2014-2018,Number,Margins of Error,3814
Middlesex County,9007,2014-2018,Ratio to State Median,Median Home Value,1.04
Middlesex County,9007,2014-2018,Ratio to State Median,Margins of Error,0.01
Middlesex County,9007,2015-2019,Number,Median Home Value,286800
Middlesex County,9007,2015-2019,Number,Margins of Error,3810
Middlesex County,9007,2015-2019,Ratio to State Median,Median Home Value,1.04
Middlesex County,9007,2015-2019,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2006-2010,Number,Median Home Value,273300
New Haven County,9009,2006-2010,Number,Margins of Error,1644
New Haven County,9009,2006-2010,Ratio to State Median,Median Home Value,0.92
New Haven County,9009,2006-2010,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2007-2011,Number,Median Home Value,270900
New Haven County,9009,2007-2011,Number,Margins of Error,1661
New Haven County,9009,2007-2011,Ratio to State Median,Median Home Value,0.92
New Haven County,9009,2007-2011,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2008-2012,Number,Median Home Value,263900
New Haven County,9009,2008-2012,Number,Margins of Error,1749
New Haven County,9009,2008-2012,Ratio to State Median,Median Home Value,0.92
New Haven County,9009,2008-2012,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2009-2013,Number,Median Home Value,256900
New Haven County,9009,2009-2013,Number,Margins of Error,1851
New Haven County,9009,2009-2013,Ratio to State Median,Median Home Value,0.92
New Haven County,9009,2009-2013,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2010-2014,Number,Median Home Value,250400
New Haven County,9009,2010-2014,Number,Margins of Error,1878
New Haven County,9009,2010-2014,Ratio to State Median,Median Home Value,0.91
New Haven County,9009,2010-2014,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2011-2015,Number,Median Home Value,245200
New Haven County,9009,2011-2015,Number,Margins of Error,1861
New Haven County,9009,2011-2015,Ratio to State Median,Median Home Value,0.91
New Haven County,9009,2011-2015,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2012-2016,Number,Median Home Value,244000
New Haven County,9009,2012-2016,Number,Margins of Error,1800
New Haven County,9009,2012-2016,Ratio to State Median,Median Home Value,0.91
New Haven County,9009,2012-2016,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2013-2017,Number,Median Home Value,244400
New Haven County,9009,2013-2017,Number,Margins of Error,1989
New Haven County,9009,2013-2017,Ratio to State Median,Median Home Value,0.9
New Haven County,9009,2013-2017,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2014-2018,Number,Median Home Value,246700
New Haven County,9009,2014-2018,Number,Margins of Error,2033
New Haven County,9009,2014-2018,Ratio to State Median,Median Home Value,0.9
New Haven County,9009,2014-2018,Ratio to State Median,Margins of Error,0.01
New Haven County,9009,2015-2019,Number,Median Home Value,248600
New Haven County,9009,2015-2019,Number,Margins of Error,2085
New Haven County,9009,2015-2019,Ratio to State Median,Median Home Value,0.9
New Haven County,9009,2015-2019,Ratio to State Median,Margins of Error,0.01
New London County,9011,2006-2010,Number,Median Home Value,268900
New London County,9011,2006-2010,Number,Margins of Error,3676
New London County,9011,2006-2010,Ratio to State Median,Median Home Value,0.91
New London County,9011,2006-2010,Ratio to State Median,Margins of Error,0.01
New London County,9011,2007-2011,Number,Median Home Value,265700
New London County,9011,2007-2011,Number,Margins of Error,3230
New London County,9011,2007-2011,Ratio to State Median,Median Home Value,0.91
New London County,9011,2007-2011,Ratio to State Median,Margins of Error,0.01
New London County,9011,2008-2012,Number,Median Home Value,260600
New London County,9011,2008-2012,Number,Margins of Error,3314
New London County,9011,2008-2012,Ratio to State Median,Median Home Value,0.91
New London County,9011,2008-2012,Ratio to State Median,Margins of Error,0.01
New London County,9011,2009-2013,Number,Median Home Value,252900
New London County,9011,2009-2013,Number,Margins of Error,3116
New London County,9011,2009-2013,Ratio to State Median,Median Home Value,0.91
New London County,9011,2009-2013,Ratio to State Median,Margins of Error,0.01
New London County,9011,2010-2014,Number,Median Home Value,247700
New London County,9011,2010-2014,Number,Margins of Error,2588
New London County,9011,2010-2014,Ratio to State Median,Median Home Value,0.9
New London County,9011,2010-2014,Ratio to State Median,Margins of Error,0.01
New London County,9011,2011-2015,Number,Median Home Value,244000
New London County,9011,2011-2015,Number,Margins of Error,3027
New London County,9011,2011-2015,Ratio to State Median,Median Home Value,0.9
New London County,9011,2011-2015,Ratio to State Median,Margins of Error,0.01
New London County,9011,2012-2016,Number,Median Home Value,241500
New London County,9011,2012-2016,Number,Margins of Error,3065
New London County,9011,2012-2016,Ratio to State Median,Median Home Value,0.9
New London County,9011,2012-2016,Ratio to State Median,Margins of Error,0.01
New London County,9011,2013-2017,Number,Median Home Value,238900
New London County,9011,2013-2017,Number,Margins of Error,2928
New London County,9011,2013-2017,Ratio to State Median,Median Home Value,0.88
New London County,9011,2013-2017,Ratio to State Median,Margins of Error,0.01
New London County,9011,2014-2018,Number,Median Home Value,239000
New London County,9011,2014-2018,Number,Margins of Error,3131
New London County,9011,2014-2018,Ratio to State Median,Median Home Value,0.88
New London County,9011,2014-2018,Ratio to State Median,Margins of Error,0.01
New London County,9011,2015-2019,Number,Median Home Value,241700
New London County,9011,2015-2019,Number,Margins of Error,2904
New London County,9011,2015-2019,Ratio to State Median,Median Home Value,0.88
New London County,9011,2015-2019,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2006-2010,Number,Median Home Value,266100
Tolland County,9013,2006-2010,Number,Margins of Error,3995
Tolland County,9013,2006-2010,Ratio to State Median,Median Home Value,0.9
Tolland County,9013,2006-2010,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2007-2011,Number,Median Home Value,266300
Tolland County,9013,2007-2011,Number,Margins of Error,3496
Tolland County,9013,2007-2011,Ratio to State Median,Median Home Value,0.91
Tolland County,9013,2007-2011,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2008-2012,Number,Median Home Value,261300
Tolland County,9013,2008-2012,Number,Margins of Error,3736
Tolland County,9013,2008-2012,Ratio to State Median,Median Home Value,0.91
Tolland County,9013,2008-2012,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2009-2013,Number,Median Home Value,254800
Tolland County,9013,2009-2013,Number,Margins of Error,3819
Tolland County,9013,2009-2013,Ratio to State Median,Median Home Value,0.91
Tolland County,9013,2009-2013,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2010-2014,Number,Median Home Value,252400
Tolland County,9013,2010-2014,Number,Margins of Error,4414
Tolland County,9013,2010-2014,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2010-2014,Ratio to State Median,Margins of Error,0.02
Tolland County,9013,2011-2015,Number,Median Home Value,247700
Tolland County,9013,2011-2015,Number,Margins of Error,3506
Tolland County,9013,2011-2015,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2011-2015,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2012-2016,Number,Median Home Value,247800
Tolland County,9013,2012-2016,Number,Margins of Error,4208
Tolland County,9013,2012-2016,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2012-2016,Ratio to State Median,Margins of Error,0.02
Tolland County,9013,2013-2017,Number,Median Home Value,247500
Tolland County,9013,2013-2017,Number,Margins of Error,3728
Tolland County,9013,2013-2017,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2013-2017,Ratio to State Median,Margins of Error,0.01
Tolland County,9013,2014-2018,Number,Median Home Value,251300
Tolland County,9013,2014-2018,Number,Margins of Error,4536
Tolland County,9013,2014-2018,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2014-2018,Ratio to State Median,Margins of Error,0.02
Tolland County,9013,2015-2019,Number,Median Home Value,253100
Tolland County,9013,2015-2019,Number,Margins of Error,4356
Tolland County,9013,2015-2019,Ratio to State Median,Median Home Value,0.92
Tolland County,9013,2015-2019,Ratio to State Median,Margins of Error,0.02
Windham County,9015,2006-2010,Number,Median Home Value,230100
Windham County,9015,2006-2010,Number,Margins of Error,3580
Windham County,9015,2006-2010,Ratio to State Median,Median Home Value,0.78
Windham County,9015,2006-2010,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2007-2011,Number,Median Home Value,227000
Windham County,9015,2007-2011,Number,Margins of Error,3524
Windham County,9015,2007-2011,Ratio to State Median,Median Home Value,0.77
Windham County,9015,2007-2011,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2008-2012,Number,Median Home Value,219300
Windham County,9015,2008-2012,Number,Margins of Error,3434
Windham County,9015,2008-2012,Ratio to State Median,Median Home Value,0.77
Windham County,9015,2008-2012,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2009-2013,Number,Median Home Value,211100
Windham County,9015,2009-2013,Number,Margins of Error,3698
Windham County,9015,2009-2013,Ratio to State Median,Median Home Value,0.76
Windham County,9015,2009-2013,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2010-2014,Number,Median Home Value,203200
Windham County,9015,2010-2014,Number,Margins of Error,4537
Windham County,9015,2010-2014,Ratio to State Median,Median Home Value,0.74
Windham County,9015,2010-2014,Ratio to State Median,Margins of Error,0.02
Windham County,9015,2011-2015,Number,Median Home Value,197500
Windham County,9015,2011-2015,Number,Margins of Error,3091
Windham County,9015,2011-2015,Ratio to State Median,Median Home Value,0.73
Windham County,9015,2011-2015,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2012-2016,Number,Median Home Value,196900
Windham County,9015,2012-2016,Number,Margins of Error,3120
Windham County,9015,2012-2016,Ratio to State Median,Median Home Value,0.73
Windham County,9015,2012-2016,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2013-2017,Number,Median Home Value,196800
Windham County,9015,2013-2017,Number,Margins of Error,3612
Windham County,9015,2013-2017,Ratio to State Median,Median Home Value,0.73
Windham County,9015,2013-2017,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2014-2018,Number,Median Home Value,198000
Windham County,9015,2014-2018,Number,Margins of Error,3437
Windham County,9015,2014-2018,Ratio to State Median,Median Home Value,0.73
Windham County,9015,2014-2018,Ratio to State Median,Margins of Error,0.01
Windham County,9015,2015-2019,Number,Median Home Value,204400
Windham County,9015,2015-2019,Number,Margins of Error,4085
Windham County,9015,2015-2019,Ratio to State Median,Median Home Value,0.74
Windham County,9015,2015-2019,Ratio to State Median,Margins of Error,0.02
